"establecimiento","tipo","distribución-testeo","calle","altura","piso_depto","cruce","barrio_localidad","partido_comuna_dpto","provincia","región sanitaria","teléfono","horario atención","web","mail","unidad coordinadora","responsable","UC mail","UC web","observaciones","latitude","longitude","confidence","fail"
"Caps. \"Ginés González García\"","","","Ramón","102","","y Cajal","","Capital","TUCUMÁN","","","","","","","","","","","-26.7925146","-65.1860808","0.9",""
"Caps. San José","","","Independencia","90","","","","Depto.Yerba Buena. San Jose","TUCUMÁN","","","","","","","","","","","-26.7949121","-65.258819","0.9",""
"Hospital Santa Rita","HOSPITAL","Testeo","Avenida  Eva Perón","Al 300","","","","Depto. Cruz Alta, Lastenia","TUCUMÁN","","","","","","","","","","","-26.8082848","-65.2175903","0.5",""
"Hospital Eliseo Cantón","HOSPITAL","Testeo","Belgrano","Al 300","","","San Isidro de Lules","Depto. Lules","TUCUMÁN","","","","","","","","","","","-26.9257507","-65.3380356","0.5",""
"Policlinica La Banda","HOSPITAL","Testeo","Diagona Paz","","","y 9 de Julio","","La Banda Cruz Alta","TUCUMÁN","","","","","","","","","","","-26.9286366","-64.95340089999999","0.5",""
"Hospital Angel C. Padilla","HOSPITAL","Testeo","Alberdi","550","","","","Capital","TUCUMÁN","","(0381)4200969","","","","","","","","","-26.8362522","-65.2159788","0.9",""
"Hospital Central de la Salud Zenon J. Santillán","HOSPITAL","Testeo","Avenida Avellaneda","Al 700","","","","Capital","TUCUMÁN","","","","","","","","","","","-26.8082848","-65.2175903","0.5",""
"Instituto de Maternidad Ntra.Sra de las Mercedes","HOSPITAL","Testeo","Avenida Mate de Luna","1535","","","","Capital","TUCUMÁN","","(0381)4230208","","","","","","","","","-26.8270579","-65.220817","1",""
"Hospital \"Nicolas Avellaneda\"","HOSPITAL","Testeo","Catamarca","Al 2200","","","","Capital","TUCUMÁN","","","","","","","","","","","-28.467979","-65.7754185","0.7",""
"Caps. San Cayetano-Area Op.Se","","","Luis Agote","500","","","","Capital","TUCUMÁN","","","","","","","","","","","-26.8082848","-65.2175903","0.5",""
"Hospital del Niños Jesus","HOSPITAL","Testeo","Pasaje Hungria","","","y Chacabuco","","Capital","TUCUMÁN","","","","","","","","","","","-26.8082848","-65.2175903","0.5",""
"Caps.Villalonga-Area Op.So","","","San Luis","1600","","","","Capital","TUCUMÁN","","","","","","","","","","","-26.850247","-65.22242","0.9",""
"Caps.San Rafael-Area Op.Ne","","","Sargento Cabral","80","","","","Capital","TUCUMÁN","","","","","","","","","","","-26.8226272","-65.2364849","0.9",""
"Caps. G.G.García-Area Op.No","","","Ramon","109","","y Cajal","","Capital","TUCUMÁN","","","","","","","","","","","-26.7925659","-65.18599309999999","0.9",""
"Hospital Juan M. Obarrio","HOSPITAL","Testeo","San Miguel","1650","","","","Capital","TUCUMÁN","","(0381)4330781","","","","","","","","","-26.8054042","-65.2193066","0.9",""
"Hospital Regional de Concepción Miguel Belascuain","HOSPITAL","Testeo","San Luis","150","","","","Concepciòn","TUCUMÁN","","(03865)421784","","","","","","","","","-27.345123","-65.60342179999999","0.9",""
"Hospital Burruyacu","HOSPITAL","Testeo","Independencia","","","y Belgrano","","Depto.Burruyacu","TUCUMÁN","","","","","","","","","","","-26.5010159","-64.7430443","0.5",""
"Hospital Santa Rosa de Leales","HOSPITAL","Testeo","","","","","Santa Rosa de Leales","Depto.Leales","TUCUMÁN","","","","","","","","","","","-27.2000008","-65.3000107","0.5",""
"Caps. Alderetes","","","Urquiza","","","y Caseros","","Dept.Cruz Alta-Alderetes","TUCUMÁN","","","","","","","","","","","-26.8197879","-65.1425172","0.5",""
"Hospital Garmendia","HOSPITAL","Testeo","","","","","Gobernador Garmendia","Depto.Burruyacu","TUCUMÁN","","","","","","","","","","","-26.499424","-64.7419434","0.5",""
"Hospital El Bracho","HOSPITAL","Testeo","Calle Principal","","","","El Bracho","Depto.Cruz Alta","TUCUMÁN","","","","","","","","","","","-26.8204206","-65.17005979999999","0.7",""
"Hospital Estacion Araoz","HOSPITAL","Testeo","","","","","Estaciòn Araoz","Depto. Cruz Alta","TUCUMÁN","","","","","","","","","","","-26.8082848","-65.2175903","0.5",""
"Hospital Los Ralos","HOSPITAL","Testeo","","","","","Los Ralos","Depto. Cruz Alta","TUCUMÁN","","","","","","","","","","","-26.8082848","-65.2175903","0.5",""
"Hospital Graneros","HOSPITAL","Testeo","Avenida Compañía","550","","","","Depto. Graneros","TUCUMÁN","","72471467","","","","","","","","","-27.6498394","-65.4400711","0.5",""
"Hospital Centro de Salud Aguilares","HOSPITAL","Testeo","Alberdi","","","y Avellaneda","Aguilares","Depto. Rio Chico","TUCUMÁN","","(03865)481343","","","","","","","","","-27.4236228","-65.6165798","0.5",""
"Hospital Alvaro Gómez Llueca","HOSPITAL","Testeo","Alvaro Gómez Llueca","100","","","","Depto. Simoca","TUCUMÁN","","(03863)481044","","","","","","","","","-27.2630357","-65.35782619999999","0.5",""
"Asistencia Pública Tafi Viejo","","","Centenario","424","","","","Depto. Tafi Viejo","TUCUMÁN","","4613994","","","","","","","","","-26.7294405","-65.2597519","0.9",""
"Hospital Trancas","HOSPITAL","Testeo","Avenida Hipólito Irigoyen","163","","","","Depto. Trancas","TUCUMÁN","","(03862)21106","","","","","","","","","-26.2161293","-65.2835083","0.5",""
"Hospital Dr. Parajón Ortiz","HOSPITAL","Testeo","Belgrano","210","","","","Famailla","TUCUMÁN","","(03863)51038","","","","","","","","","-27.0553662","-65.4066965","0.9",""
"Hospital Juan B. Alberdi","HOSPITAL","Testeo","Belgrano","851","","","Juan Bautista Alberdi","Depto.Alberdi","TUCUMÁN","","(03865)471023/471772","","","","","","","","","-27.6165884","-65.80850490000002","0.5",""
"Hospital Mario V. Stivala","HOSPITAL","Testeo","San Martin","S/N","","","","La Cocha","TUCUMÁN","","","","","","","","","","","-27.764453","-65.58685810000001","0.7",""
"Hospital  General La Madrid","HOSPITAL","Testeo","Sarmiento","453","","","","Monteros","TUCUMÁN","","","","","","","","","","","-27.1624593","-65.49206769999999","0.9",""
"Hospital Ranchillos","HOSPITAL","Testeo","S/N","","","","Ranchillos","Depto. Cruz Alta","TUCUMÁN","","","","","","","","","","","-26.8082848","-65.2175903","0.5",""
"Hospital San Pablo","HOSPITAL","Testeo","Avenida Principal","107","","","San Pablo","Depto. Lules","TUCUMÁN","","","","","","","","","","","-26.9257507","-65.3380356","0.5",""
"Hospital Santa Ana","HOSPITAL","Testeo","San Martin y Pellegrini","","","","Santa Ana","Depto.Chicligasta","TUCUMÁN","","(03865)493030","","","","","","","","","-27.263788","-65.80850490000002","0.5",""
"Hospital Tafi Del Valle","HOSPITAL","Testeo","Avenida Martin M. de Güemes","S/N","","","","Tafi Del Valle","TUCUMÁN","","(03867)421031","","","","","","","","","-26.8516667","-65.70981669999999","0.5",""
